time_s,hall_voltage_V,coil_current_A,raw_B_mT,source_file,H_mT,B_mT,removed_by_cleaning,coil_current_err_A,raw_B_err_mT,H_fit_err_mT,H_calibration_err_mT,H_err_mT,B_fit_err_mT,B_offset_err_mT,B_err_mT
3675.0982670784,6.52296355e-06,0.09554946,0.1333946045975,first_phase_change_2026.05.17T11.42.56.xlsx,0.397678678133584,0.1414743313326138,False,0.0006388801718614031,0.08203270148116462,0.0026590314820366307,0.00012812129618683702,0.002662116355270467,0.08203270148116462,0.0011131263530074003,0.08204025330638386
3692.798179149628,8.02921681e-06,0.1090976,0.1641974837645,first_phase_change_2026.05.17T11.42.56.xlsx,0.45406629567081275,0.1722772104996138,False,0.0006727501935111825,0.0820373099339759,0.0027999991592798108,0.00014628785890441527,0.0028038180093633903,0.0820373099339759,0.0011131263530074003,0.08204486133500977
3909.639262199402,1.68415799e-05,0.1109392,0.3444103089549999,first_phase_change_2026.05.17T11.42.56.xlsx,0.46173107005730124,0.3524900356901137,False,0.0006773541514136704,0.08206427180101253,0.002819160920035382,0.00014875724155773094,0.00282308289109098,0.08206427180101253,0.0011131263530074003,0.08207182072129397
2291.690085172653,7.9031496e-06,0.1115717,0.16161940932,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.46436354714214806,0.1696991360551138,False,0.0006789353870869421,0.082036924225356,0.0028257420531193826,0.0001496053543554189,0.002829699615298266,0.082036924225356,0.0011131263530074003,0.0820444756618906
2301.70211815834,1.87381467e-05,0.1466096,0.383195100015,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.6101919563929874,0.3912748267501138,False,0.0007665294357748653,0.082070074448325,0.0031903101573722173,0.00019658731703385557,0.0031963612864397716,0.082070074448325,0.0011131263530074003,0.08207762283491991
3818.861001014709,2.03598249e-05,0.1516341,0.416358419205,first_phase_change_2026.05.17T11.42.56.xlsx,0.6311040213934823,0.4244381459401138,False,0.0007790905981340655,0.08207503606099192,0.0032425899551107714,0.00020332461782750487,0.0032489583741870214,0.08207503606099192,0.0011131263530074003,0.08208258399131257
2312.199314117432,3.08843278e-05,0.2030512,0.63158450351,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,0.8451029739931338,0.6396642302451138,False,0.0009076325907091113,0.08210723638801047,0.0037775841841927696,0.0002722692826970731,0.003787383375229359,0.08210723638801047,0.0011131263530074003,0.0821147813585008
2324.811686038971,3.90960721e-05,0.2485967,0.799514674445,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,1.0346642152071936,0.8075944011801138,False,0.0010214958289936362,0.08213236074153596,0.004251485157458334,0.00033334077902449964,0.00426453304818349,0.08213236074153596,0.0011131263530074003,0.08213990340422588
2338.215865135193,4.78033926e-05,0.3010705,0.97757937867,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,1.2530611733966597,0.9856591054051138,False,0.0011526798647705251,0.08215900138553496,0.004797475620826542,0.00040370236214437127,0.0048144312155877726,0.08215900138553496,0.0011131263530074003,0.08216654160268701
2351.619276046753,6.38648204e-05,0.400054,1.30603557718,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,1.665032391622651,1.3141153039151139,False,0.0014001379759003517,0.08220814254256223,0.005827401007401651,0.0005364283275355916,0.005852038777353445,0.08220814254256223,0.0011131263530074003,0.082215678252849
2370.272819042206,8.08304931e-05,0.5031445,1.6529835838949998,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,2.094097022318944,1.6610633106301136,False,0.0016578637632763723,0.08226005047083008,0.006900060658692543,0.000674661327330139,0.006932965094404517,0.08226005047083008,0.0011131263530074003,0.08226758142635088
2387.55180811882,9.88046935e-05,0.6083629,2.0205559820750003,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,2.5320180134719106,2.028635708810114,False,0.0019209094191127013,0.08231504426093193,0.007994861704159183,0.0008157476065273746,0.008036370936323574,0.08231504426093193,0.0011131263530074003,0.08232257018556298
2400.955304145813,0.000112787062,0.6994733,2.3064954179,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,2.911221239070695,2.3145751446351137,False,0.002148685189171251,0.08235782478983791,0.008942868811135438,0.0009379166124443226,0.008991918045949818,0.08235782478983791,0.0011131263530074003,0.08236534680550674
2412.986988067627,0.000130992937,0.8049585,2.67880556165,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,3.3502526569212696,2.6868852883851138,False,0.002412397977189377,0.08241352775363438,0.010040446473489261,0.0010793606410398557,0.01009829613253785,0.08241352775363438,0.0011131263530074003,0.08242104468566765
2428.328706026077,0.000147861315,0.9043094,3.02376389175,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,3.7637530009669806,3.0318436184851136,False,0.0026607750659602145,0.08246513866518702,0.011074196662564685,0.0012125792493431244,0.011140385099138016,0.08246513866518702,0.0011131263530074003,0.0824726508931675
2443.1053211689,0.000166214067,1.007907,3.39907767015,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,4.194928191552169,3.407157396885114,False,0.0029197689270539177,0.08252129139356393,0.012152134060896993,0.0013514922143546008,0.012227055796039941,0.08252129139356393,0.0011131263530074003,0.08252879851021247
2456.993724107742,0.000183191312,1.103344,3.7462623304,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,4.5921388090170385,3.754342057135114,False,0.0031583613192498,0.08257323574714712,0.013145160155876369,0.0014794627140746741,0.013228153516117691,0.08257323574714712,0.0011131263530074003,0.08258073814172222
2469.913674116135,0.000201317413,1.202906,4.11694109585,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,5.006517755296127,4.125020822585113,False,0.0034072662228769764,0.08262869537827155,0.014181107120468557,0.0016129643842144516,0.01427254193432089,0.08262869537827155,0.0011131263530074003,0.08263619273776446
2480.571749210358,0.00021986099,1.302503,4.496157245499999,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,5.421042372243941,4.5042369722351125,False,0.0036562586395986244,0.0826854325399122,0.015217418316232002,0.0017465129854971843,0.01531731464127128,0.0826854325399122,0.0011131263530074003,0.08269292475532675
2494.379519224167,0.000239272147,1.404304,4.89311540615,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,5.844740079302432,4.901195132885113,False,0.003910761065436411,0.08274482442070777,0.01627666227521368,0.0018830169078962872,0.016385221618787686,0.08274482442070777,0.0011131263530074003,0.08275231125890996
2507.783742189407,0.000257416418,1.500002,5.2641657481,V_vs_I_full_spec_with_SC_2026.05.17T11.18.35.xlsx,6.243036983754092,5.272245474835113,False,0.004150006004014733,0.08280034023610494,0.017272404280704635,0.0020113373798538257,0.01738911808263148,0.08280034023610494,0.0011131263530074003,0.08280782205499972
